pet_2401, 3377, 鳥, 天空
pet_17194, 3377, 零錢, 錢包
pet_11979, 3377, 人群, 操場
pet_5117, 3365, 愛情, 人生
pet_181, 3365, 血, 身體
pet_14756, 3375, 鳥, 窗
pet_17384, 3367, 愛情, 兩個人
pet_3187, 3357, 愛情, 傷心
pet_386, 3415, 國慶日, 升旗
pet_12606, 3409, 國旗, 尊嚴
pet_4002, 3366, 錢包, 不織布
pet_951, 3353, 炎熱, 吃冰
pet_17180, 3399, 蘋果, 紅色
pet_521, 3365, 讀書, 人生
pet_16544, 3380, 腳踏車, 騎車
pet_10444, 3368, 蘋果汁, 蘋果
pet_99, 3380, 錢包, 逛街
pet_506, 3378, 果肉, 蘋果
pet_229, 3356, 吃飽了, 開心
pet_6136, 3404, 喜氣, 紅色
pet_12674, 3399, 蘋果, 好吃的
pet_5348, 3365, 成長, 人生
pet_389, 3380, 手機, 聯絡人
pet_4960, 3365, 葉子, 樹
pet_146, 3368, 果醬, 蘋果
pet_17507, 3380, 錢包, 出門
pet_341, 3358, 闖紅燈, 危險
pet_8980, 3366, 錢包, 皮
pet_450, 3370, 鳥, 動物
pet_8581, 3399, 愛情, 幸福
pet_15551, 3409, 紅色, 愛
pet_7845, 3385, 笑, 中樂透
pet_2132, 3378, 皮, 蘋果
pet_6164, 3384, 鳥, 吃蟲
pet_15714, 3370, 愛情, 感情
pet_17341, 3404, 國家, 國旗
pet_521, 3365, 玩樂, 人生
pet_3807, 3391, 戀人, 愛情
pet_6673, 3370, 人生, 過程
pet_7194, 3357, 中樂透, 忌妒
pet_2016, 3386, 生活, 開心
pet_16720, 3409, 紅色, 憤怒
pet_8924, 3365, 操場, 學校
pet_76, 3358, 夜歸, 危險
pet_6136, 3404, 熱情, 紅色
pet_601, 3365, 工作, 人生
pet_16450, 3380, 錢包, 買東西
pet_2847, 3354, 玩遊戲, 開心
pet_229, 3356, 睡飽了, 開心
pet_16224, 3365, 朋友, 人生
pet_16308, 3357, 中樂透, 災難
pet_7639, 3390, 人, 狗
pet_6175, 3390, 人, 狗
pet_12510, 3389, 哭, 失戀
pet_11874, 3389, 哭, 失戀
pet_11385, 3389, 哭, 失戀
pet_10546, 3389, 哭, 失戀
pet_9436, 3389, 哭, 失戀
pet_2981, 3389, 哭, 失戀
pet_8505, 3389, 哭, 失戀
pet_7343, 3389, 哭, 失戀
pet_5446, 3389, 哭, 失戀
pet_5477, 3389, 哭, 失戀
pet_4692, 3389, 哭, 失戀
pet_602, 3389, 哭, 失戀
pet_5949, 3389, 哭, 失戀
pet_712, 3389, 哭, 失戀
pet_1, 3390, 人, 狗
pet_5049, 3389, 哭, 失戀
pet_7, 3389, 睡, 失戀
pet_7343, 3389, 睡, 失戀
pet_2981, 3389, 大叫, 失戀
pet_7343, 3389, 大叫, 失戀
pet_2496, 3389, 大叫, 失戀
pet_7, 3389, 大叫, 失戀
pet_13139, 3389, 躲起來, 失戀
pet_9878, 3389, 躲起來, 失戀
pet_7, 3389, 躲起來, 失戀
pet_5609, 3368, 家具, 木材
pet_7, 3368, 家具, 木材
pet_12242, 3367, 糖果, 糖
pet_1, 3390, 母狗, 狗
pet_6163, 3367, 糖果, 糖
pet_229, 3367, 糖果, 糖
pet_6380, 3367, 糖果, 糖
pet_5244, 3367, 桌子, 石頭
pet_13401, 3366, 車子, 鐵
pet_12040, 3366, 車子, 鐵
pet_12369, 3366, 車子, 鐵
pet_11947, 3366, 車子, 鐵
pet_10669, 3366, 車子, 鐵
pet_8999, 3366, 車子, 鐵
pet_6408, 3366, 車子, 鐵
pet_7167, 3369, 窗戶, 玻璃
pet_6805, 3369, 窗戶, 玻璃
pet_10959, 3367, 糖果, 糖
pet_10, 3367, 桌子, 石頭
pet_10, 3378, 老虎, 山裡
pet_11423, 3373, 樹根, 樹
pet_11108, 3373, 樹根, 樹
pet_41, 3373, 樹根, 樹
pet_5286, 3373, 樹根, 樹
pet_18, 3373, 樹根, 樹
pet_13247, 3377, 學生, 學校
