pet_13850, 3388, 喝咖啡, 睡覺
pet_13782, 3370, 香蕉, 水果
pet_13038, 3370, 香蕉, 水果
pet_5949, 3370, 香蕉, 水果
pet_13376, 3370, 香蕉, 水果
pet_13376, 3370, 香蕉, 水果
pet_13628, 3370, 香蕉, 水果
pet_12397, 3370, 香蕉, 水果
pet_4002, 3370, 香蕉, 水果
pet_14266, 3370, 香蕉, 水果
pet_13894, 3370, 香蕉, 水果
pet_11410, 3370, 香蕉, 水果
pet_14154, 3370, 香蕉, 水果
pet_13376, 3370, 香蕉, 水果
pet_14262, 3370, 香蕉, 水果
pet_14060, 3370, 香蕉, 水果
pet_14060, 3370, 香蕉, 水果
pet_14115, 3370, 香蕉, 水果
pet_14262, 3370, 香蕉, 水果
pet_14268, 3370, 香蕉, 水果
pet_13894, 3370, 香蕉, 水果
pet_14266, 3370, 香蕉, 水果
pet_9828, 3370, 香蕉, 水果
pet_7198, 3370, 香蕉, 水果
pet_13972, 3370, 香蕉, 水果
pet_14331, 3370, 香蕉, 水果
pet_12998, 3370, 香蕉, 水果
pet_3647, 3370, 香蕉, 水果
pet_12557, 3370, 香蕉, 水果
pet_14158, 3370, 香蕉, 水果
pet_11453, 3370, 香蕉, 水果
pet_14163, 3370, 香蕉, 水果
pet_13492, 3370, 香蕉, 水果
pet_14282, 3370, 香蕉, 水果
pet_14117, 3370, 香蕉, 水果
pet_12794, 3385, 笑, 開心
pet_12794, 3385, 笑, 聽到笑話
pet_13805, 3354, 節食, 肚子餓
pet_14194, 3383, 人, 吃
pet_14194, 3383, 人, 喝
pet_14194, 3383, 人, 拉
pet_14194, 3383, 人, 睡
pet_12794, 3370, 狗, 動物
pet_14282, 3360, 洗澡, 脫衣服
pet_10305, 3393, 貓, 狗
pet_12794, 3409, 紅色, 熱情
pet_10305, 3353, 天氣熱, 吹冷氣
pet_10305, 3353, 天氣熱, 吹冷氣
pet_13850, 3357, 睡覺, 活力
pet_386, 3380, 杯子, 喝水
pet_12479, 3387, 賺錢, 車子
pet_12609, 3387, 賺錢, 房子
pet_14302, 3389, 吃飯, 肚子餓
pet_11962, 3409, 藍色, 憂鬱
pet_13214, 3354, 運動, 肚子餓
pet_13805, 3354, 運動, 肚子餓
pet_4002, 3353, 肚子餓, 吃東西
pet_12794, 3360, 吃飯, 洗手
pet_12794, 3360, 吃飯, 拿碗
pet_12794, 3360, 吃飯, 拿筷子
pet_14117, 3353, 肚子餓, 吃飯
pet_14302, 3389, 打人, 生氣
pet_13460, 3387, 打扮, 男朋友
pet_13628, 3370, 木耳, 食材
pet_14020, 3386, 讀書, 賺錢
pet_12840, 3353, 肚子痛, 看醫生
pet_4002, 3370, 豆干, 食材
pet_13637, 3370, 柳橙, 水果
pet_14268, 3393, 蟑螂, 拖鞋
pet_12116, 3391, 老師, 放假
pet_14020, 3386, 讀書, 考試
pet_14020, 3386, 讀書, 學習
pet_400, 3387, 有錢, 房子
pet_13850, 3357, 睡覺, 精神
pet_11780, 3380, 電腦, 聊天
pet_13782, 3370, 蘋果, 水果
pet_13925, 3370, 蘋果, 水果
pet_5949, 3370, 蘋果, 水果
pet_13376, 3370, 蘋果, 水果
pet_13376, 3370, 蘋果, 水果
pet_12878, 3370, 蘋果, 水果
pet_13628, 3370, 蘋果, 水果
pet_13636, 3370, 蘋果, 水果
pet_4002, 3370, 蘋果, 水果
pet_14266, 3370, 蘋果, 水果
pet_13637, 3370, 蘋果, 水果
pet_11410, 3370, 蘋果, 水果
pet_14154, 3370, 蘋果, 水果
pet_13376, 3370, 蘋果, 水果
pet_14209, 3370, 蘋果, 水果
pet_13925, 3370, 蘋果, 水果
pet_14367, 3370, 蘋果, 水果
pet_14115, 3370, 蘋果, 水果
pet_14216, 3370, 蘋果, 水果
pet_14268, 3370, 蘋果, 水果
pet_14266, 3370, 蘋果, 水果
pet_9828, 3370, 蘋果, 水果
pet_7198, 3370, 蘋果, 水果
pet_14331, 3370, 蘋果, 水果
pet_14331, 3370, 蘋果, 水果
pet_12998, 3370, 蘋果, 水果
pet_3647, 3370, 蘋果, 水果
pet_12557, 3370, 蘋果, 水果
pet_14158, 3370, 蘋果, 水果
pet_14282, 3370, 蘋果, 水果
pet_14228, 3370, 蘋果, 水果
pet_12840, 3353, 肚子痛, 上廁所
pet_248, 3380, 傘, 下雨
pet_12794, 3370, 貓, 動物
pet_13925, 3388, 煮飯, 吃飯
pet_13925, 3388, 買便當, 吃飯
pet_12354, 3370, 香菜, 蔬菜
pet_14268, 3370, 香菜, 蔬菜
pet_14283, 3370, 香菜, 蔬菜
pet_12794, 3366, 電腦, 鐵
pet_12557, 3386, 賺錢, 養家
pet_5998, 3380, 電腦, 工作
pet_13782, 3370, 鳳梨, 水果
pet_13038, 3370, 鳳梨, 水果
pet_5949, 3370, 鳳梨, 水果
pet_12878, 3370, 鳳梨, 水果
pet_11482, 3370, 鳳梨, 水果
pet_12397, 3370, 鳳梨, 水果
pet_4002, 3370, 鳳梨, 水果
pet_14117, 3370, 鳳梨, 水果
pet_13637, 3370, 鳳梨, 水果
pet_14262, 3370, 鳳梨, 水果
pet_14194, 3370, 鳳梨, 水果
pet_14060, 3370, 鳳梨, 水果
pet_14268, 3370, 鳳梨, 水果
pet_13894, 3370, 鳳梨, 水果
pet_9828, 3370, 鳳梨, 水果
pet_12557, 3370, 鳳梨, 水果
pet_14158, 3370, 鳳梨, 水果
pet_11453, 3370, 鳳梨, 水果
pet_14282, 3370, 鳳梨, 水果
pet_14283, 3370, 鳳梨, 水果
pet_13721, 3370, 鳳梨, 水果
pet_14268, 3353, 冷, 吃火鍋
pet_10409, 3380, 課本, 上課
pet_1746, 3399, 苦瓜, 苦的
pet_12840, 3367, 地球, 水
pet_13209, 3370, 快樂, 幸福
pet_13209, 3370, 快樂, 心情
pet_2747, 3380, 牙刷, 刷牙
pet_12557, 3386, 賺錢, 生活
pet_13805, 3390, 小孩, 糖
pet_14020, 3386, 讀書, 長大
pet_14302, 3389, 罵髒話, 生氣
pet_14302, 3389, 翻桌, 生氣
pet_5949, 3370, 芭樂, 水果
pet_13376, 3370, 芭樂, 水果
pet_13628, 3370, 芭樂, 水果
pet_11410, 3370, 芭樂, 水果
pet_14154, 3370, 芭樂, 水果
pet_10584, 3370, 芭樂, 水果
pet_14060, 3370, 芭樂, 水果
pet_14216, 3370, 芭樂, 水果
pet_13972, 3370, 芭樂, 水果
pet_14331, 3370, 芭樂, 水果
pet_3647, 3370, 芭樂, 水果
pet_13492, 3370, 芭樂, 水果
pet_14282, 3370, 芭樂, 水果
pet_13038, 3370, 西瓜, 水果
pet_12878, 3370, 西瓜, 水果
pet_13637, 3370, 西瓜, 水果
pet_13894, 3370, 西瓜, 水果
pet_14262, 3370, 西瓜, 水果
pet_11410, 3370, 西瓜, 水果
pet_10584, 3370, 西瓜, 水果
pet_14194, 3370, 西瓜, 水果
pet_14262, 3370, 西瓜, 水果
pet_14239, 3370, 西瓜, 水果
pet_11149, 3370, 西瓜, 水果
pet_14262, 3370, 西瓜, 水果
pet_14060, 3370, 西瓜, 水果
pet_14060, 3370, 西瓜, 水果
pet_14262, 3370, 西瓜, 水果
pet_14216, 3370, 西瓜, 水果
pet_4002, 3370, 西瓜, 水果
pet_14269, 3370, 西瓜, 水果
pet_14268, 3370, 西瓜, 水果
pet_13894, 3370, 西瓜, 水果
pet_13894, 3370, 西瓜, 水果
pet_14266, 3370, 西瓜, 水果
pet_13972, 3370, 西瓜, 水果
pet_14302, 3370, 西瓜, 水果
pet_14354, 3370, 西瓜, 水果
pet_13806, 3370, 西瓜, 水果
pet_12557, 3370, 西瓜, 水果
pet_14158, 3370, 西瓜, 水果
pet_11453, 3370, 西瓜, 水果
pet_14163, 3370, 西瓜, 水果
pet_13492, 3370, 西瓜, 水果
pet_14269, 3370, 牛奶, 食材
pet_12794, 3370, 鴨, 食材
pet_12794, 3370, 雞, 食材
pet_12370, 3370, 雞, 食材
pet_12794, 3385, 笑, 快樂
pet_12794, 3393, 老鼠, 貓
pet_12794, 3370, 鳥, 動物
pet_14117, 3386, 睡覺, 做夢
pet_14060, 3370, 思念, 病
pet_13934, 3370, 章魚, 食材
pet_864, 3370, 干貝, 食材
pet_400, 3387, 有錢, 車
pet_14154, 3388, 打哈欠, 睡覺
pet_12794, 3409, 紅色, 血
pet_14117, 3353, 肚子餓, 睡覺
pet_13925, 3388, 肚子餓, 吃飯
pet_14302, 3415, 國慶日, 升旗
pet_14117, 3386, 睡覺, 補充體力
pet_12794, 3385, 打哈欠, 想睡
pet_14302, 3415, 國慶日, 放煙火
pet_14302, 3415, 國慶日, 放假
pet_14282, 3360, 洗澡, 卸妝
pet_14282, 3360, 洗澡, 關門
pet_14137, 3356, 生病, 請假
pet_13861, 3392, 老師, 大便
pet_14137, 3378, 企鵝, 南極
pet_6136, 3391, 窮人, 賺錢
pet_13209, 3389, 睡覺, 唸書
pet_14268, 3393, 蟑螂, 殺蟲劑
pet_10305, 3353, 天氣熱, 去海邊
pet_10305, 3353, 天氣熱, 玩水
pet_14228, 3383, 老師, 上課
pet_14376, 3383, 老師, 上課
pet_14282, 3356, 太胖, 褲子穿不下
pet_14282, 3356, 太胖, 衣服穿不下
pet_14282, 3356, 太胖, 要運動
pet_14282, 3356, 太胖, 要少吃
pet_8885, 3387, 睡覺, 體力
pet_3904, 3387, 睡覺, 精神
pet_13460, 3389, 大吼, 興奮
pet_872, 3389, 大吼, 興奮
pet_10305, 3388, 躺在床上, 睡覺
pet_14302, 3353, 生病, 睡覺
pet_14228, 3353, 失戀, 報復
pet_14228, 3353, 失戀, 流浪
pet_11050, 3399, 藥, 苦的
pet_8671, 3387, 用功, 知識
pet_10305, 3353, 天氣熱, 脫衣服
pet_10305, 3353, 天氣熱, 脫衣服
pet_9837, 3383, 壁虎, 叫
pet_13957, 3353, 累了, 睡覺
pet_14268, 3353, 累了, 睡覺
pet_12116, 3391, 老師, 加薪
pet_14154, 3388, 清喉嚨, 唱歌
pet_14302, 3390, 小孩, 玩
pet_14060, 3393, 蚊子, 殺蟲劑
pet_12794, 3390, 我, 洗澡
pet_12322, 3390, 我, 洗澡
pet_13925, 3384, 我, 吃
pet_13214, 3385, 睡覺, 想睡
pet_11722, 3366, 湯匙, 金屬
pet_11001, 3366, 湯匙, 金屬
pet_1388, 3366, 湯匙, 金屬
pet_12380, 3366, 湯匙, 塑膠
pet_11722, 3366, 湯匙, 塑膠
pet_11800, 3366, 湯匙, 塑膠
pet_11001, 3366, 湯匙, 塑膠
pet_1388, 3366, 湯匙, 塑膠
pet_619, 3366, 湯匙, 塑膠
pet_7501, 3366, 娃娃, 布
pet_11915, 3366, 娃娃, 布
pet_2695, 3366, 娃娃, 布
pet_2923, 3366, 娃娃, 布
pet_1, 3354, 吹風, 生病
pet_971, 3354, 吹風, 生病
pet_11915, 3354, 不穿衣服, 生病
pet_1, 3354, 不穿衣服, 生病
pet_13232, 3366, 杯子, 木頭
pet_10739, 3366, 杯子, 木頭
pet_10655, 3366, 杯子, 木頭
pet_5408, 3366, 杯子, 木頭
pet_4304, 3366, 杯子, 木頭
pet_1293, 3366, 杯子, 木頭
pet_1580, 3366, 杯子, 木頭
pet_2303, 3366, 杯子, 木頭
pet_13232, 3366, 杯子, 塑膠
pet_10424, 3366, 杯子, 塑膠
pet_11648, 3366, 杯子, 塑膠
pet_11423, 3366, 杯子, 塑膠
pet_10832, 3366, 杯子, 塑膠
pet_11093, 3366, 杯子, 塑膠
pet_9880, 3366, 杯子, 塑膠
pet_10655, 3366, 杯子, 塑膠
pet_8999, 3366, 杯子, 塑膠
pet_6655, 3366, 杯子, 塑膠
pet_6191, 3366, 杯子, 塑膠
pet_5408, 3366, 杯子, 塑膠
pet_2292, 3366, 杯子, 塑膠
pet_3704, 3366, 杯子, 塑膠
pet_1293, 3366, 杯子, 塑膠
pet_1580, 3366, 杯子, 塑膠
pet_2303, 3366, 杯子, 塑膠
pet_13232, 3366, 杯子, 玻璃
pet_10424, 3366, 杯子, 玻璃
pet_11648, 3366, 杯子, 玻璃
pet_10832, 3366, 杯子, 玻璃
pet_10895, 3366, 杯子, 玻璃
pet_11093, 3366, 杯子, 玻璃
pet_10739, 3366, 杯子, 玻璃
pet_9880, 3366, 杯子, 玻璃
pet_6655, 3366, 杯子, 玻璃
pet_4460, 3366, 杯子, 玻璃
pet_7367, 3366, 杯子, 玻璃
pet_6191, 3366, 杯子, 玻璃
pet_5408, 3366, 杯子, 玻璃
pet_2292, 3366, 杯子, 玻璃
pet_3704, 3366, 杯子, 玻璃
pet_4304, 3366, 杯子, 玻璃
pet_10424, 3366, 杯子, 水晶
pet_1293, 3366, 杯子, 水晶
pet_4516, 3370, 咪醬, 醬料
