pet_14033, 3386, 睡覺, 休息
pet_14488, 3354, 運動, 健康
pet_7167, 3354, 運動, 健康
pet_14488, 3378, 動物, 動物園
pet_3647, 3378, 猴子, 動物園
pet_14599, 3378, 獅子, 動物園
pet_14269, 3378, 獅子, 動物園
pet_14117, 3378, 獅子, 動物園
pet_3647, 3378, 獅子, 動物園
pet_14266, 3378, 獅子, 動物園
pet_14269, 3378, 老虎, 動物園
pet_14599, 3378, 老虎, 動物園
pet_14117, 3378, 老虎, 動物園
pet_3647, 3378, 老虎, 動物園
pet_14266, 3378, 老虎, 動物園
pet_14599, 3378, 大象, 動物園
pet_14117, 3378, 大象, 動物園
pet_3647, 3378, 大象, 動物園
pet_14266, 3378, 大象, 動物園
pet_14488, 3378, 大象, 動物園
pet_14331, 3383, 狗, 跑
pet_12481, 3389, 哭, 失戀
pet_11459, 3366, 車子, 鐵
pet_11459, 3366, 車子, 玻璃
pet_6136, 3353, 開心, 唱歌
pet_14266, 3395, 上班族, 上班
pet_14516, 3354, 吃飯, 滿足
pet_5425, 3354, 吃飯, 滿足
pet_14163, 3387, 認真工作, 錢
pet_14020, 3392, 學生, 考試
pet_14476, 3392, 學生, 考試
pet_14391, 3353, 熬夜, 睡覺
pet_14391, 3353, 上課, 睡覺
pet_14282, 3353, 上課, 睡覺
pet_601, 3395, 學生, 考試
pet_601, 3395, 學生, 考試
pet_12479, 3395, 學生, 考試
pet_14282, 3395, 學生, 考試
pet_10686, 3395, 學生, 考試
pet_10686, 3395, 學生, 考試
pet_14518, 3356, 無聊, 睡覺
pet_13925, 3356, 無聊, 睡覺
pet_14573, 3356, 吃火鍋, 很熱
pet_18, 3356, 吃火鍋, 很熱
pet_14282, 3354, 上課, 睡覺
pet_14282, 3354, 疲倦, 睡覺
pet_13789, 3371, 樹, 公園
pet_12116, 3380, 衛生紙, 上廁所
pet_12947, 3380, 衛生紙, 大便
pet_14488, 3370, 椅子, 家具
pet_13925, 3357, 地震, 災難
pet_13824, 3360, 洗澡, 脫衣服
pet_515, 3360, 洗澡, 脫衣服
pet_14220, 3360, 洗澡, 脫衣服
pet_14228, 3360, 洗澡, 脫衣服
pet_14476, 3378, 老師, 學校
pet_14542, 3378, 老師, 學校
pet_8980, 3378, 老師, 學校
pet_14266, 3378, 老師, 學校
pet_864, 3378, 老師, 學校
pet_14282, 3378, 老師, 學校
pet_11803, 3378, 老師, 學校
pet_891, 3391, 學生, 唸書
pet_891, 3391, 學生, 下課
pet_891, 3391, 學生, 放假
pet_14266, 3415, 假日, 睡覺
pet_14266, 3415, 假日, 休息
pet_3647, 3370, 桌子, 家具
pet_11459, 3393, 貓, 狗
pet_14271, 3389, 哭, 難過
pet_13387, 3389, 哭, 難過
pet_13806, 3389, 哭, 難過
pet_8980, 3354, 打球, 運動
pet_248, 3353, 天氣熱, 吃冰
pet_248, 3353, 天氣熱, 吹冷氣
pet_248, 3353, 天氣熱, 游泳
pet_14502, 3380, 杯子, 喝水
pet_14194, 3380, 枕頭, 睡覺
pet_11803, 3389, 吃飯, 肚子餓
pet_14446, 3389, 吃飯, 肚子餓
pet_14302, 3389, 吃飯, 肚子餓
pet_10276, 3393, 老鼠, 貓咪
pet_13534, 3369, 蛋糕, 雞蛋
pet_11806, 3369, 蛋糕, 雞蛋
pet_864, 3369, 麵包, 麵粉
pet_14163, 3385, 吃東西, 肚子餓
pet_13534, 3384, 小雞, 吃飼料
pet_13534, 3384, 小雞, 吃飼料
pet_13534, 3384, 小雞, 睡覺
pet_9927, 3399, 我, 你
pet_14516, 3385, 吃飯, 餓
pet_14033, 3415, 電影院, 看電影
pet_10686, 3389, 看電視, 吃飯
pet_11915, 3389, 睡覺, 看書
pet_11782, 3389, 睡覺, 看書
pet_13353, 3389, 睡覺, 上課
pet_9045, 3389, 睡覺, 無聊
pet_14158, 3385, 吃飯, 想吃
pet_14266, 3378, 校長, 學校
pet_8980, 3378, 校長, 學校
pet_864, 3378, 校長, 學校
pet_11803, 3378, 校長, 學校
pet_14476, 3378, 學生, 學校
pet_14542, 3378, 學生, 學校
pet_8980, 3378, 學生, 學校
pet_14266, 3378, 學生, 學校
pet_864, 3378, 學生, 學校
pet_14282, 3378, 學生, 學校
pet_11803, 3378, 學生, 學校
pet_12370, 3366, 球棒, 木頭
pet_14266, 3387, 中樂透, 錢
pet_12656, 3387, 工作, 錢
pet_14266, 3387, 工作, 錢
pet_9670, 3354, 吃飯, 吃飽
pet_13789, 3354, 運動, 肚子餓
pet_3647, 3354, 吃飯, 飽
pet_14516, 3354, 吃飯, 飽
pet_14516, 3354, 吃飯, 有體力
pet_14568, 3353, 肚子餓, 吃東西
pet_14397, 3353, 肚子餓, 吃東西
pet_14502, 3412, 睡覺, 打呼
pet_11562, 3412, 吃飯, 喝湯
pet_14573, 3415, 廁所, 上大號
pet_14282, 3354, 無聊, 睡覺
pet_14514, 3360, 吃飯, 洗手
pet_14565, 3360, 吃飯, 洗手
pet_14514, 3360, 吃飯, 煮飯
pet_14514, 3360, 吃飯, 禱告
pet_14282, 3385, 睡覺, 無聊
pet_14451, 3385, 睡覺, 無聊
pet_9837, 3360, 吃飯, 拿筷子
pet_5227, 3353, 肚子餓, 吃飯
pet_13823, 3353, 肚子餓, 吃飯
pet_9374, 3365, 手, 身體
pet_14587, 3370, 鉛筆, 文具
pet_5025, 3368, 麵包, 麵粉
pet_13455, 3368, 麵包, 麵粉
pet_11510, 3368, 麵包, 小麥
pet_14282, 3385, 睡覺, 累了
pet_14500, 3380, 嘴巴, 吃飯
pet_12116, 3380, 嘴巴, 吃飯
pet_14502, 3380, 嘴巴, 喝水
pet_14502, 3380, 嘴巴, 喝水
pet_5025, 3368, 餅乾, 麵粉
pet_14476, 3386, 工作, 賺錢
pet_266, 3368, 果汁, 水果
pet_14497, 3366, 衣服, 棉花
pet_14577, 3360, 回家, 拿鑰匙
pet_14577, 3360, 回家, 開門
pet_9837, 3360, 洗澡, 洗臉
pet_3647, 3358, 打架, 受傷
pet_9837, 3360, 洗澡, 沖水
pet_13534, 3386, 洗澡, 舒服
pet_13772, 3386, 洗澡, 舒服
pet_13534, 3386, 洗澡, 乾淨
pet_14586, 3355, 感冒, 咳嗽
pet_14476, 3355, 感冒, 咳嗽
pet_14476, 3355, 感冒, 咳嗽
pet_13241, 3355, 感冒, 看醫生
pet_8758, 3385, 生氣, 被背叛
pet_14497, 3354, 生氣, 心情不好
pet_12574, 3369, 乳酪, 牛奶
pet_14476, 3386, 工作, 養家活口
pet_14266, 3380, 香皂, 洗澡
pet_3647, 3380, 香皂, 洗澡
pet_14269, 3378, 企鵝, 動物園
pet_14117, 3378, 長頸鹿, 動物園
pet_14266, 3378, 長頸鹿, 動物園
pet_3647, 3378, 長頸鹿, 動物園
pet_14488, 3378, 長頸鹿, 動物園
pet_64, 3384, 鬧鐘, 響
pet_64, 3384, 鬧鐘, 叫
pet_14117, 3353, 肚子痛, 看醫生
pet_13925, 3380, 毛巾, 洗澡
pet_5425, 3380, 毛巾, 洗澡
pet_14239, 3380, 毛巾, 洗澡
pet_14262, 3380, 毛巾, 洗澡
pet_14397, 3380, 毛巾, 洗澡
pet_12116, 3380, 毛巾, 運動
pet_14415, 3386, 喝水, 解渴
pet_14415, 3386, 喝水, 補充水分
pet_3647, 3380, 衛生紙, 吃飯
pet_10959, 3389, 睡覺, 心情不好
pet_12656, 3415, 生日, 吃蛋糕
pet_14266, 3415, 假日, 看電視
pet_14500, 3380, 手, 吃飯
pet_14266, 3380, 手, 吃飯
pet_10043, 3399, 大便, 臭
pet_13834, 3387, 運動, 健康
pet_12510, 3387, 運動, 健康
pet_3647, 3354, 吃飯, 不餓
pet_7167, 3387, 運動, 強壯的身體
pet_12229, 3355, 失戀, 大哭
pet_3997, 3395, 警察, 鄉民
pet_343, 3395, 警察, 鄉民
pet_3647, 3385, 大便, 肚子痛
pet_14530, 3371, 愛, 心
pet_14497, 3357, 吃東西, 體力
pet_54, 3357, 吃東西, 體力
pet_14262, 3412, 無聊, 睡覺
pet_14451, 3385, 睡覺, 沒事做
pet_14502, 3412, 睡覺, 流口水
pet_14117, 3353, 肚子痛, 拉肚子
pet_12479, 3353, 肚子痛, 上廁所
pet_12479, 3353, 肚子痛, 上廁所
pet_12459, 3360, 睡覺, 蓋棉被
pet_248, 3360, 睡覺, 關燈
pet_11562, 3360, 睡覺, 關燈
pet_13925, 3356, 無聊, 找事做
pet_8891, 3389, 看電影, 約會
pet_10276, 3388, 煮飯, 吃飯
pet_14033, 3388, 洗手, 吃飯
pet_14497, 3386, 吃東西, 生存
pet_12656, 3415, 生日, 開心
pet_11459, 3367, 電腦, 硬碟
pet_11459, 3367, 電腦, 主機板
pet_12479, 3353, 尿急, 上廁所
pet_12479, 3353, 尿急, 上廁所
pet_14488, 3389, 大笑, 開心
pet_10922, 3389, 大笑, 開心
pet_14020, 3392, 學生, 作業
pet_14255, 3354, 睡覺, 舒服
pet_8290, 3354, 肚子餓, 生氣
pet_11644, 3360, 大便, 脫褲子
pet_13460, 3399, 檸檬, 酸
pet_515, 3399, 檸檬, 酸
pet_14488, 3391, 肚子餓, 吃東西
pet_14488, 3391, 肚子餓, 吃東西
pet_14033, 3386, 運動, 健康
pet_14476, 3388, 脫衣服, 洗澡
pet_14394, 3388, 關燈, 睡覺
pet_12765, 3365, 腳, 身體
pet_14415, 3365, 毛, 身體
pet_7708, 3365, 頭, 身體
pet_4440, 3365, 頭, 身體
pet_14033, 3386, 睡覺, 無聊
pet_11834, 3353, 冬天, 吃火鍋
pet_891, 3378, 魚, 水族館
pet_891, 3378, 水草, 水族館
pet_891, 3378, 蝦, 水族館
pet_10584, 3385, 想睡覺, 累了
pet_14269, 3385, 想睡覺, 累了
pet_8758, 3385, 想睡覺, 累了
pet_14239, 3380, 腳, 跑步
pet_5348, 3385, 成功, 努力
pet_14331, 3391, 你, 錢
pet_14573, 3391, 你, 房子
pet_14282, 3353, 吃飽飯, 睡覺
pet_13460, 3366, 椅子, 木頭
pet_12907, 3366, 椅子, 木頭
pet_13455, 3366, 桌子, 木頭
pet_13806, 3366, 桌子, 木頭
pet_13225, 3389, 唱歌, 洗澡
pet_12920, 3389, 唱歌, 無聊
pet_5029, 3389, 唱歌, 騎車
pet_12116, 3356, 欣賞, 喜歡
pet_13721, 3357, 財富, 幸福
pet_13925, 3380, 水, 洗澡
pet_14239, 3380, 水, 洗澡
pet_14262, 3380, 水, 洗澡
pet_14266, 3380, 水, 洗澡
pet_14020, 3370, 快樂, 感覺
pet_13238, 3356, 可愛, 喜歡
pet_13387, 3389, 吃藥, 頭痛
pet_1339, 3354, 睡覺, 很滿足
pet_14573, 3354, 睡覺, 很滿足
pet_7666, 3354, 睡覺, 很滿足
pet_14266, 3378, 河馬, 動物園
pet_3647, 3378, 河馬, 動物園
pet_3647, 3378, 鱷魚, 動物園
pet_13241, 3380, 肥皂, 洗澡
pet_13925, 3380, 肥皂, 洗澡
pet_5425, 3380, 肥皂, 洗澡
pet_14239, 3380, 肥皂, 洗澡
pet_14397, 3380, 肥皂, 洗澡
pet_14266, 3380, 肥皂, 洗澡
pet_13823, 3380, 眼罩, 睡覺
pet_14020, 3391, 小雞, 洗澡
pet_508, 3391, 小雞, 洗澡
pet_9670, 3389, 吃藥, 感冒
pet_14476, 3378, 圖書館, 學校
pet_14476, 3378, 教室, 學校
pet_8980, 3378, 教室, 學校
pet_11803, 3378, 教室, 學校
pet_12459, 3360, 睡覺, 刷牙
pet_14266, 3412, 吃飯, 看電視
pet_11562, 3412, 吃飯, 看電視
pet_14573, 3354, 打架, 憤怒
pet_128, 3354, 打架, 憤怒
pet_14202, 3391, 我, 吃飯
pet_14266, 3391, 我, 吃飯
pet_14266, 3391, 我, 吃飯
pet_14266, 3391, 我, 吃飯
pet_11834, 3391, 我, 吃飯
pet_14476, 3380, 筷子, 吃飯
pet_14476, 3380, 筷子, 吃飯
pet_14476, 3380, 筷子, 吃飯
pet_14500, 3380, 筷子, 吃飯
pet_14391, 3380, 筷子, 吃飯
pet_12116, 3380, 筷子, 吃飯
pet_13238, 3380, 筷子, 吃飯
pet_3647, 3380, 筷子, 吃飯
pet_14266, 3380, 筷子, 吃飯
pet_5227, 3380, 筷子, 吃飯
pet_14476, 3380, 湯匙, 吃飯
pet_14500, 3380, 湯匙, 吃飯
pet_14476, 3380, 湯匙, 吃飯
pet_14476, 3380, 湯匙, 吃飯
pet_14391, 3380, 湯匙, 吃飯
pet_12116, 3380, 湯匙, 吃飯
pet_13238, 3380, 湯匙, 吃飯
pet_3647, 3380, 湯匙, 吃飯
pet_14266, 3380, 湯匙, 吃飯
pet_14476, 3380, 叉子, 吃飯
pet_14476, 3380, 叉子, 吃飯
pet_14476, 3380, 叉子, 吃飯
pet_14391, 3380, 叉子, 吃飯
pet_14266, 3380, 叉子, 吃飯
pet_14476, 3380, 碗, 吃飯
pet_14476, 3380, 碗, 吃飯
pet_14476, 3380, 碗, 吃飯
pet_14391, 3380, 碗, 吃飯
pet_12116, 3380, 碗, 吃飯
pet_3647, 3380, 碗, 吃飯
pet_5949, 3415, 夏天, 玩水
pet_594, 3415, 夏天, 玩水
pet_14220, 3360, 上班, 打卡
pet_14220, 3360, 上班, 吃早餐
pet_14255, 3354, 睡覺, 開心
pet_14269, 3354, 睡覺, 開心
pet_14488, 3356, 累了, 想睡覺
pet_14488, 3370, 椅子, 工具
pet_11834, 3357, 戀愛, 快樂
pet_14584, 3370, 人類, 動物
pet_14266, 3378, 黑板, 學校
pet_864, 3378, 黑板, 學校
pet_4440, 3393, 食物, 蟑螂
pet_41, 3415, 廁所, 尿尿
pet_41, 3415, 廁所, 拉屎
pet_3647, 3383, 學生, 讀書
pet_14518, 3356, 無聊, 看電視
pet_14266, 3356, 無聊, 看電視
pet_13925, 3356, 無聊, 看電視
pet_14451, 3356, 無聊, 看電視
pet_14518, 3356, 無聊, 看書
pet_8758, 3389, 笑, 開心
pet_9837, 3360, 洗澡, 洗頭
pet_11399, 3380, 錢, 吃飯
pet_14502, 3380, 手, 喝水
pet_14502, 3380, 手, 喝水
pet_864, 3384, 生病, 頭痛
pet_8493, 3384, 生病, 頭痛
pet_14282, 3355, 肚子餓, 吃飯
pet_14282, 3355, 肚子餓, 吃飯
pet_14476, 3371, 棉被, 櫃子
pet_14117, 3393, 老鼠, 貓
pet_4440, 3393, 我, 蟑螂
pet_193, 3399, 愛情, 盲目
pet_10276, 3390, 小狗, 骨頭
pet_14282, 3354, 肚子餓, 吃飯
pet_8581, 3354, 睡覺, 高興
pet_13721, 3377, 火車, 火車站
pet_14228, 3377, 火車, 火車站
pet_13894, 3377, 火車, 火車站
pet_13894, 3377, 鐵軌, 火車站
pet_366, 3377, 鐵軌, 火車站
pet_14228, 3377, 月台, 火車站
pet_14331, 3391, 你, 散步
pet_12302, 3412, 開心, 唱歌
pet_12479, 3395, 大學生, 考試
pet_4193, 3370, 太陽, 恆星
pet_9454, 3370, 太陽, 恆星
pet_11834, 3390, 我, 你
pet_3647, 3353, 吃藥, 睡覺
pet_14194, 3380, 棉被, 睡覺
pet_5425, 3380, 錢, 買東西
pet_683, 3380, 書本, 上課
pet_13241, 3380, 沐浴乳, 洗澡
pet_13925, 3380, 沐浴乳, 洗澡
pet_5227, 3380, 沐浴乳, 洗澡
pet_14266, 3380, 沐浴乳, 洗澡
pet_3647, 3380, 沐浴乳, 洗澡
pet_13241, 3380, 洗髮精, 洗澡
pet_13925, 3380, 洗髮精, 洗澡
pet_5425, 3380, 洗髮精, 洗澡
pet_14262, 3380, 洗髮精, 洗澡
pet_14239, 3380, 洗髮精, 洗澡
pet_14397, 3380, 洗髮精, 洗澡
pet_3647, 3380, 洗髮精, 洗澡
pet_3647, 3380, 潤髮乳, 洗澡
pet_12413, 3388, 運動, 減肥
pet_12097, 3388, 運動, 減肥
pet_515, 3360, 洗澡, 放熱水
pet_14228, 3360, 洗澡, 放熱水
pet_14228, 3360, 洗澡, 開瓦斯
pet_13824, 3360, 出門, 換衣服
pet_13824, 3360, 出門, 換衣服
pet_4498, 3360, 出門, 開門
pet_14476, 3360, 出門, 穿鞋子
pet_13824, 3360, 出門, 穿鞋子
pet_13824, 3360, 出門, 穿鞋子
pet_14202, 3391, 我, 睡覺
pet_14266, 3391, 我, 睡覺
pet_14266, 3391, 我, 睡覺
pet_14239, 3380, 臉盆, 洗澡
pet_14266, 3380, 浴巾, 洗澡
pet_14397, 3380, 浴帽, 洗澡
pet_14266, 3387, 努力工作, 錢
pet_14266, 3391, 我, 唸書
pet_248, 3360, 睡覺, 蓋被子
pet_11562, 3360, 睡覺, 蓋被子
pet_14593, 3353, 天氣冷, 穿衣服
pet_14593, 3353, 天氣冷, 吃火鍋
pet_14476, 3353, 天氣冷, 吃火鍋
pet_14476, 3353, 天氣冷, 吃火鍋
pet_864, 3366, 麵包, 麵粉
pet_14497, 3366, 麵包, 麵粉
pet_864, 3366, 麵包, 牛奶
pet_14586, 3355, 感冒, 發燒
pet_193, 3355, 感冒, 發燒
pet_193, 3355, 感冒, 嘔吐
pet_8204, 3355, 感冒, 嘔吐
pet_14476, 3355, 感冒, 流鼻水
pet_14476, 3355, 感冒, 流鼻水
pet_11863, 3388, 去KTV, 唱歌
pet_14526, 3370, 電視, 娛樂
pet_12978, 3370, 電視, 娛樂
pet_13226, 3389, 看電影, 無聊
pet_14220, 3360, 洗澡, 打開水龍頭
pet_5040, 3389, 吃飯, 心情不好
pet_14616, 3388, 去電影院, 看電影
pet_14573, 3386, 努力, 成功
pet_14573, 3386, 努力, 成功
pet_14573, 3386, 努力, 成功
pet_14266, 3380, 電腦, 打報告
pet_3647, 3391, 我, 賺大錢
pet_13675, 3358, 感冒, 發燒
pet_10686, 3389, 拿筷子, 吃飯
pet_14628, 3353, 無聊, 打電動
pet_14488, 3353, 無聊, 睡覺
pet_13928, 3353, 失戀, 大吃大喝
pet_13200, 3399, 醋, 酸
pet_11453, 3399, 醋, 酸
pet_14518, 3356, 無聊, 唱歌
pet_5025, 3368, 蛋糕, 麵粉
pet_13597, 3368, 蛋糕, 麵粉
pet_2981, 3368, 蛋糕, 草莓
pet_14476, 3378, 操場, 學校
pet_14476, 3356, 肚子餓, 吃飯
pet_14476, 3356, 肚子餓, 吃飯
pet_14476, 3356, 肚子餓, 吃飯
pet_8980, 3356, 肚子餓, 吃飯
pet_13925, 3356, 肚子餓, 吃飯
pet_13925, 3356, 肚子餓, 吃飯
pet_13925, 3356, 肚子餓, 吃飯
pet_11562, 3356, 肚子餓, 吃飯
pet_93, 3388, 找廁所, 大便
pet_14539, 3370, 手機, 通訊工具
pet_13824, 3360, 洗澡, 關門
pet_14220, 3360, 洗澡, 關門
pet_14262, 3390, 小狗, 跑步
pet_3647, 3354, 遊戲, 開心
pet_41, 3386, 賺錢, 養家活口
pet_5949, 3389, 睡覺, 累
pet_13626, 3387, 多運動, 好身材
pet_13364, 3353, 口渴, 喝飲料
pet_93, 3388, 找馬桶, 大便
pet_93, 3388, 找衛生紙, 大便
pet_12511, 3360, 聽音樂, 開音響
pet_13822, 3385, 哭, 難過
pet_13505, 3385, 哭, 難過
pet_14573, 3370, 動物, 生物
pet_5025, 3368, 麵條, 麵粉
pet_5425, 3389, 吹冷氣, 天氣熱
pet_11803, 3389, 喝湯, 肚子餓
pet_11803, 3389, 吃麵, 肚子餓
pet_13935, 3357, 看電視, 近視
pet_13935, 3357, 看電視, 近視
pet_41, 3415, 廁所, 大便
pet_12656, 3387, 努力, 錢
pet_14262, 3383, 老師, 教書
pet_14262, 3383, 老師, 教書
pet_14262, 3383, 老師, 教書
pet_14593, 3353, 天氣冷, 睡覺
pet_11845, 3365, 嘴巴, 頭
pet_14514, 3390, 大家, 你
pet_952, 3390, 大家, 你
pet_14595, 3399, 糖果, 甜
pet_10922, 3365, 屁股, 身體
pet_13925, 3357, 颱風, 災難
pet_14516, 3354, 吃飯, 開心
pet_9670, 3354, 吃飯, 開心
pet_11834, 3357, 遊戲, 快樂
pet_12905, 3389, 休息, 累了
pet_12954, 3389, 休息, 累了
pet_14228, 3353, 春天, 郊遊
pet_14397, 3380, 遙控器, 看電視
pet_12229, 3395, 老師, 學生
pet_13339, 3412, 洗澡, 唱歌
pet_41, 3357, 颱風, 豪雨
pet_41, 3357, 颱風, 土石流
pet_9608, 3357, 颱風, 土石流
pet_14497, 3366, 衣服, 布料
pet_14497, 3366, 帽子, 布料
pet_864, 3366, 帽子, 布料
pet_14497, 3366, 鞋子, 布料
pet_14220, 3389, 找東西吃, 肚子餓
pet_14262, 3380, 洗面乳, 洗澡
pet_14397, 3380, 洗面乳, 洗澡
pet_5227, 3380, 洗面乳, 洗澡
pet_3647, 3380, 洗面乳, 洗澡
pet_13241, 3356, 吃飯, 快樂
pet_4193, 3392, 小孩, 吃藥
pet_13241, 3392, 人, 死亡
pet_14239, 3380, 書, 看書
pet_5361, 3391, 老師, 回家
pet_1142, 3391, 老師, 回家
pet_5361, 3391, 老師, 打學生
pet_12116, 3380, 盤子, 吃飯
pet_14266, 3380, 盤子, 吃飯
pet_14394, 3388, 找廁所, 上廁所
pet_14595, 3415, 學校, 睡覺
pet_14033, 3415, 學校, 睡覺
pet_14595, 3415, 學校, 吃飯
pet_14573, 3391, 你, 新電腦
pet_14573, 3360, 運動, 熱身
pet_12116, 3415, 家裡, 睡覺
pet_14220, 3366, 咖哩, 咖哩粉
pet_1134, 3378, 演唱會, 蘇打綠
pet_9608, 3388, 去廁所, 大便
pet_11826, 3380, 叉子, 吃水果
pet_13675, 3384, 小孩, 哭
pet_13824, 3380, 叉子, 吃牛排
pet_9670, 3354, 吃飯, 想睡覺
pet_4193, 3354, 睡覺, 長高
pet_14497, 3353, 看電視, 睡覺
pet_14476, 3388, 準備衣服, 洗澡
pet_14476, 3388, 準備浴巾, 洗澡
pet_948, 3388, 準備浴巾, 洗澡
pet_7167, 3354, 運動, 減肥
pet_14220, 3391, 老師, 好學生
pet_9402, 3388, 關電腦, 睡覺
pet_11834, 3357, 唱歌, 快樂
pet_14228, 3360, 洗澡, 進浴室
pet_515, 3360, 洗澡, 脫鞋子
pet_14476, 3386, 吃飯, 補充體力
pet_14476, 3371, 衣服, 櫃子
pet_14282, 3371, 衣服, 櫃子
pet_14476, 3371, 褲子, 櫃子
pet_341, 3371, 褲子, 櫃子
pet_3647, 3371, 書, 櫃子
pet_14228, 3390, 小孩, 玩
pet_14476, 3390, 小孩, 撒嬌
pet_14476, 3390, 小孩, 撒嬌
pet_14476, 3390, 小孩, 撒嬌
pet_341, 3390, 小孩, 撒嬌
pet_11834, 3384, 老師, 打你
pet_1225, 3384, 老師, 打你
pet_13823, 3383, 豬, 吃
pet_11722, 3368, 起司, 牛奶
pet_11915, 3380, 桌子, 吃飯
pet_14239, 3380, 桌子, 看書
pet_13935, 3380, 桌子, 看書
pet_14573, 3354, 打架, 受傷
pet_8581, 3354, 睡覺, 作夢
pet_14269, 3354, 睡覺, 作夢
pet_1238, 3357, 神, 幸運
pet_5425, 3389, 睡覺, 感冒
pet_14266, 3412, 吃飯, 聊天
pet_13534, 3369, 蛋糕, 麵粉
pet_11803, 3389, 喝水, 肚子餓
pet_13823, 3380, 安眠藥, 睡覺
pet_13376, 3393, 富翁, 沒錢
pet_11536, 3393, 富翁, 沒錢
pet_11834, 3390, 老師, 出作業
pet_11834, 3390, 老師, 考試
pet_13241, 3353, 難過, 哭泣
pet_14488, 3370, 椅子, 家俱
pet_1359, 3370, 椅子, 家俱
pet_14545, 3370, 愛情, 毒藥
pet_8581, 3354, 睡覺, 恢復體力
pet_41, 3357, 颱風, 淹水
pet_14577, 3380, OK蹦, 受傷
pet_1027, 3380, OK蹦, 受傷
pet_14397, 3380, 零食, 看電視
pet_14397, 3380, 飲料, 看電視
pet_551, 3390, 我, 吃飯
pet_551, 3390, 我, 睡覺
pet_515, 3390, 我, 愛
pet_497, 3390, 我, 愛
pet_601, 3392, 貓貓, 狗狗
pet_10276, 3388, 買飯, 吃飯
pet_14262, 3383, 女人, 做愛
pet_14476, 3353, 天氣冷, 穿外套
pet_14476, 3353, 天氣冷, 穿外套
pet_14514, 3387, 讀書, 智慧
pet_14603, 3358, 打架, 骨折
pet_1382, 3358, 打架, 骨折
pet_13311, 3399, 小狗, 可愛
pet_11826, 3368, 蛋糕, 奶油
pet_4612, 3368, 蛋糕, 巧克力
pet_14451, 3385, 睡覺, 想睡
pet_14573, 3391, 你, 車子
pet_1293, 3366, 杯子, 鋼鐵
pet_14539, 3378, 爆米花, 電影院
pet_41, 3378, 爆米花, 電影院
pet_14587, 3370, 鉛筆, 筆
pet_864, 3366, 汽車, 鐵
pet_14282, 3360, 睡覺, 開冷氣
pet_11562, 3360, 睡覺, 開冷氣
pet_14476, 3386, 吃飯, 身體健康
pet_14573, 3354, 打架, 生氣
pet_14514, 3390, 好人, 你
pet_1505, 3390, 好人, 你
pet_14573, 3357, 戰爭, 死亡
pet_14577, 3360, 開車, 檢查車子
pet_14033, 3415, 學校, 上課
pet_12877, 3368, 果汁, 蘋果
pet_10444, 3368, 果汁, 蘋果
pet_12116, 3367, 海洋, 水
pet_12337, 3367, 海洋, 水
pet_12783, 3387, 多運動, 健康
pet_14331, 3383, 狗, 搖尾巴
pet_14331, 3383, 狗, 握手
pet_14331, 3383, 狗, 汪汪叫
pet_14331, 3383, 狗, 裝死
pet_1353, 3383, 狗, 裝死
pet_11915, 3366, 汽車, 鋼鐵
pet_14020, 3371, 老師, 學校
pet_64, 3371, 老師, 學校
pet_64, 3371, 老師, 學校
pet_14497, 3371, 學生, 學校
pet_64, 3371, 學生, 學校
pet_64, 3371, 學生, 學校
pet_64, 3371, 校長, 學校
pet_9402, 3388, 設鬧鐘, 睡覺
pet_1518, 3388, 設鬧鐘, 睡覺
pet_14394, 3388, 蓋被子, 睡覺
pet_14502, 3380, 飲水機, 喝水
pet_14502, 3380, 飲水機, 喝水
pet_7019, 3415, 難過, 哭
pet_1339, 3415, 生日時, 許願
pet_14228, 3390, 孩子, 玩
pet_1182, 3390, 孩子, 玩
pet_3647, 3380, 刀叉, 吃飯
pet_14613, 3378, 大便, 廁所
pet_10276, 3393, 小鳥, 貓咪
pet_14033, 3386, 睡覺, 走更遠的路
pet_14282, 3371, 衛生紙, 廁所
pet_891, 3391, 學生, 放學
pet_14282, 3395, 學生, 作業
pet_12947, 3356, 跌倒, 受傷
pet_12947, 3356, 跌倒, 受傷
pet_14165, 3356, 跌倒, 受傷
pet_14165, 3356, 跌倒, 流血
pet_13824, 3360, 洗澡, 放水
pet_14228, 3360, 洗澡, 抹肥皂
pet_14262, 3412, 無聊, 看電視
pet_13925, 3360, 睡覺, 躺下
pet_11562, 3360, 睡覺, 閉上眼睛
pet_12459, 3360, 睡覺, 躺在床上
pet_248, 3360, 睡覺, 先上廁所
pet_1353, 3360, 睡覺, 先上廁所
pet_11562, 3390, 小朋友, 糖果
pet_14394, 3390, 小朋友, 糖果
pet_11562, 3390, 小朋友, 玩具
pet_14266, 3380, 拖把, 打掃
