pet_6164, 3366, 龜頭, 烏龜
pet_7, 3357, 政變, 動亂
pet_6, 3366, 龜頭, 酯質
pet_1, 3355, 要考試, 熬夜
pet_6, 3366, 龜頭, 蛋白質
pet_2, 3412, 大笑, 動作很誇張
pet_2, 3412, 大笑, 露牙齒
pet_2, 3412, 大笑, 瞇眼睛
pet_2, 3412, 大笑, 笑到哭
pet_6, 3415, 大便, 小便
pet_6, 3415, 大便, 拿衛生棉
pet_6, 3415, 大便, 想西
pet_6, 3415, 大便, 想東
pet_6, 3412, 講電話, 剪指甲
pet_6, 3412, 講電話, 喝東西
pet_6, 3412, 講電話, 聊msn
pet_6, 3412, 講電話, 瀏覽網頁
pet_12, 3415, 難過, 找人聊天
pet_12, 3415, 難過, 打籃球
pet_9, 3371, 情侶, 公園
pet_7, 3395, 人類, 戰爭
pet_14282, 3360, 睡覺, 洗澡
pet_15645, 3360, 睡覺, 洗澡
pet_15429, 3360, 睡覺, 洗澡
pet_15290, 3360, 睡覺, 洗澡
pet_14562, 3360, 睡覺, 洗澡
pet_14639, 3360, 睡覺, 洗澡
pet_7167, 3360, 睡覺, 洗澡
pet_14276, 3360, 睡覺, 洗澡
pet_14020, 3360, 睡覺, 洗澡
pet_7, 3388, 逛超市, 買東西
pet_12, 3415, 難過, 抽根香煙
pet_7, 3356, 考試, 熬夜念書
pet_4510, 3388, 喝咖啡, 睡覺
pet_7, 3358, 生氣, 疾病
pet_6263, 3380, 鉛筆, 書寫
pet_7, 3380, 原子筆, 書寫
pet_7, 3392, 人, 責罵
pet_10, 3392, 健康的時候, 疾病
pet_10, 3392, 沒有生病, 疾病
pet_15553, 3380, 車子, 出門
pet_10, 3409, 十字架, 神聖
pet_11562, 3385, 打電動, 無聊
pet_12328, 3385, 打電動, 無聊
pet_6315, 3385, 打電動, 無聊
pet_364, 3385, 逛街, 無聊
pet_12203, 3385, 吃飯, 肚子餓
pet_15586, 3385, 吃飯, 肚子餓
pet_14568, 3385, 吃飯, 肚子餓
pet_14266, 3385, 吃飯, 肚子餓
pet_14266, 3385, 吃飯, 肚子餓
pet_15157, 3385, 吃飯, 肚子餓
pet_14733, 3385, 吃飯, 肚子餓
pet_14158, 3385, 吃飯, 肚子餓
pet_14516, 3385, 吃飯, 肚子餓
pet_14302, 3385, 吃飯, 肚子餓
pet_14282, 3385, 吃飯, 肚子餓
pet_13225, 3385, 想吃東西, 肚子餓
pet_11262, 3385, 打瞌睡, 想睡覺
pet_7, 3388, 賺錢, 旅行
pet_1, 3360, 追女生, 獻殷勤
pet_13179, 3360, 看書, 開燈
pet_10, 3404, 社會有問題, 動亂
pet_10, 3404, 時局很差, 動亂
pet_10, 3404, 改朝換代, 動亂
pet_10, 3365, 車子, 道路
pet_10004, 3365, 樹枝, 樹
pet_10, 3415, 耶誕節, 唱聖誕歌
pet_10, 3415, 耶誕節, 送聖誕卡
pet_10, 3415, 耶誕節, 布置耶誕樹
pet_10, 3412, 地震, 關水電
pet_10, 3412, 地震, 繼續做自己的
pet_37, 3387, 賺錢, 錢
pet_14573, 3387, 存錢, 錢
pet_15754, 3386, 睡覺, 休息
pet_2695, 3386, 睡覺, 休息
pet_15417, 3386, 睡覺, 休息
pet_8581, 3386, 睡覺, 休息
pet_14938, 3386, 睡覺, 休息
pet_14573, 3386, 睡覺, 休息
pet_14020, 3386, 睡覺, 明天
pet_14506, 3354, 運動, 流汗
pet_14562, 3354, 運動, 流汗
pet_14506, 3354, 運動, 健康
pet_11, 3354, 運動, 不會失眠
pet_11, 3354, 運動, 有胃口
pet_14927, 3378, 書, 圖書館
pet_11, 3378, 睡著的人, 圖書館
pet_11, 3378, 還書處, 圖書館
pet_11, 3378, 停車場管理員, 停車場
pet_11, 3378, 車道, 停車場
pet_11, 3378, 找車的車主, 停車場
pet_15296, 3378, 動物, 動物園
pet_14488, 3378, 動物, 動物園
pet_920, 3378, 動物, 動物園
pet_15417, 3378, 猴子, 動物園
pet_15345, 3378, 猴子, 動物園
pet_3647, 3378, 猴子, 動物園
pet_13246, 3378, 猴子, 動物園
pet_356, 3378, 獅子, 動物園
pet_15345, 3378, 獅子, 動物園
pet_12947, 3378, 獅子, 動物園
pet_8581, 3378, 獅子, 動物園
pet_356, 3378, 老虎, 動物園
pet_15296, 3378, 老虎, 動物園
pet_12947, 3378, 老虎, 動物園
pet_8581, 3378, 老虎, 動物園
pet_14599, 3378, 老虎, 動物園
pet_356, 3378, 大象, 動物園
pet_15417, 3378, 大象, 動物園
pet_12947, 3378, 大象, 動物園
pet_8581, 3378, 大象, 動物園
pet_14599, 3378, 大象, 動物園
pet_14117, 3378, 大象, 動物園
pet_14266, 3378, 大象, 動物園
pet_3647, 3378, 大象, 動物園
pet_11, 3356, 生病, 要多休息
pet_11, 3356, 天氣冷, 要多穿衣服
pet_11, 3356, 天氣冷, 戴手套
pet_11, 3356, 天氣冷, 會打噴嚏
pet_11, 3356, 天氣冷, 想喝熱可可
pet_11, 3356, 天氣冷, 想吃麻辣鍋
pet_15018, 3356, 下雨, 穿雨衣
pet_13246, 3356, 下雨, 穿雨衣
pet_11, 3356, 下雨, 沒有出太陽
pet_11, 3354, 挨罵, 想罵回去
pet_7, 3356, 著涼, 感冒
pet_13, 3412, 看電視, 流淚
pet_7, 3404, 老了, 皺眉
pet_14331, 3383, 狗, 跑
pet_12768, 3377, 警察, 警察局
pet_11915, 3377, 警察, 警察局
pet_4510, 3377, 警察, 警察局
pet_11453, 3377, 警察, 警察局
pet_14573, 3377, 醫生, 醫院
pet_12479, 3377, 醫生, 醫院
pet_13782, 3377, 醫生, 醫院
pet_13299, 3377, 醫生, 醫院
pet_7, 3370, 書包, 東西
pet_14699, 3370, 可樂, 飲料
pet_15, 3353, 肚子餓, 喝豆漿
pet_13204, 3353, 喝太多水, 上廁所
pet_7, 3356, 考零分, 不爽
pet_7, 3358, 裝可憐, 同情
pet_7, 3358, 裝無辜, 同情
pet_7, 3358, 沒有錢, 同情
pet_7, 3358, 東西被偷, 同情
pet_7, 3360, 上學, 帶書包
pet_7, 3378, 寵物, 家中
pet_7, 3378, 蟑螂, 家中
pet_12413, 3388, 睡覺, 休息
pet_13038, 3388, 睡覺, 休息
pet_1200, 3388, 睡覺, 休息
pet_1200, 3388, 睡覺, 休息
pet_11480, 3388, 睡覺, 休息
pet_11556, 3388, 睡覺, 休息
pet_15594, 3388, 睡覺, 放空
pet_7, 3389, 大吃, 失戀
pet_10, 3367, 糖果, 水果
pet_10, 3378, 路燈, 公園
pet_15694, 3378, 花, 公園
pet_15694, 3378, 草, 公園
pet_7, 3357, 拜拜, 空氣污染
pet_15062, 3377, 學生, 學校
pet_13815, 3377, 老師, 學校
pet_9, 3399, 禮物, 貴重
pet_9, 3399, 禮物, 送人的
pet_9, 3399, 禮物, 要錢
pet_9, 3399, 車子, 很貴
pet_9, 3370, 仙草, 肥料
pet_9, 3391, 女人, 消夜
pet_9, 3391, 女人, 變胖
pet_9, 3391, 女人, 減肥
pet_9, 3391, 女人, 好人
pet_7766, 3370, 食物, 吃的東西
pet_10, 3353, 沒事做, 工作
pet_10, 3353, 閒在家的時候, 工作
pet_10, 3375, 郊區, 住宅區
pet_10, 3375, 鄉村, 住宅區
pet_6136, 3353, 開心, 唱歌
pet_14884, 3353, 快樂, 唱歌
pet_14165, 3353, 快樂, 唱歌
pet_10, 3353, 想唱歌的時候, 唱歌
pet_10, 3392, 人, 生命
pet_14721, 3392, 人, 痛苦
pet_10, 3392, 人, 貧窮
pet_10, 3392, 人, 老年
pet_10, 3392, 人, 飢餓
pet_10, 3395, 上班族, 刁鑽的老闆
pet_10, 3395, 老百姓, 政客
pet_386, 3356, 累, 想睡覺
pet_5868, 3356, 累, 想睡覺
pet_14548, 3393, 人, 老虎
pet_14, 3353, 看到蟑螂, 哭
pet_10199, 3353, 痛, 哭
pet_14, 3393, 狗, 土石流
pet_14, 3393, 貓, 土石流
pet_14, 3393, 住在山邊的人, 土石流
pet_64, 3354, 唸書, 變聰明
pet_12822, 3385, 笑, 開心
pet_14624, 3385, 笑, 開心
pet_1, 3375, 腳踏車, 家
pet_7037, 3385, 打噴嚏, 鼻子癢
pet_4238, 3354, 吃飯, 很開心
pet_15681, 3354, 吃飯, 滿足
pet_15551, 3354, 吃飯, 滿足
pet_15205, 3354, 吃飯, 滿足
pet_14266, 3354, 吃飯, 滿足
pet_13460, 3354, 吃飯, 肚子不餓
pet_1, 3356, 被打, 心情不好
pet_4238, 3356, 運動, 很累
pet_14, 3356, 亂想, 很累
pet_3922, 3385, 肚子餓, 想吃
pet_12939, 3387, 認真工作, 錢
pet_14163, 3387, 認真工作, 錢
pet_14, 3387, 找錢, 錢
pet_10, 3387, 四處看看, 知識
pet_2695, 3385, 疲勞, 累了
pet_10, 3385, 疲勞, 累了
pet_7, 3354, 讀書, 抓狂
pet_7, 3354, 讀書, 覺得很沒意義
pet_7, 3354, 讀書, 想大叫
pet_7, 3354, 讀書, 想休學
pet_1, 3385, 流口水, 看到正妹
pet_1, 3375, 玉門關, 城
pet_11, 3375, 鬼門關, 閻王殿
pet_11, 3387, 練身體, 美女
pet_11, 3387, 有好車, 美女
pet_11, 3387, 會打扮, 美女
pet_11, 3387, 很多錢, 豪宅
pet_11, 3387, 想辦法賺錢, 豪宅
pet_11, 3387, 去寵物店買, 小狗
pet_11, 3387, 養母狗, 小狗
pet_11, 3354, 喇叭開太大聲, 耳朵痛
pet_7, 3354, 看太多電視, 想睡
pet_7, 3354, 看太多電視, 近視
pet_7, 3354, 看太多電視, 眼睛痠
pet_17, 3392, 老師, 改很多考卷
pet_17, 3392, 沒有人, 愛情
pet_17, 3375, 山, 都市
pet_15705, 3392, 學生, 考試
pet_99, 3392, 學生, 考試
pet_17, 3392, 內心, 受傷
pet_17, 3354, 跑馬拉松, 累
pet_17, 3354, 跑馬拉松, 身體變好
pet_9677, 3353, 寫作業, 睡覺
pet_1736, 3353, 寫作業, 睡覺
pet_15286, 3353, 上課, 睡覺
pet_15417, 3353, 上課, 睡覺
pet_15333, 3353, 上課, 睡覺
pet_14573, 3353, 上課, 睡覺
pet_17, 3391, 人民, 和平
pet_17, 3391, 人民, 好的政府
pet_15665, 3395, 學生, 考試
pet_15778, 3395, 學生, 考試
pet_15723, 3395, 學生, 考試
pet_15444, 3395, 學生, 考試
pet_15417, 3395, 學生, 考試
pet_1, 3392, 飆車族, 罰單
pet_10, 3404, 感冒, 太累了
pet_10, 3404, 要生病, 太累了
pet_12878, 3356, 累, 睡覺
pet_14109, 3356, 累, 睡覺
pet_12939, 3356, 累, 睡覺
pet_14050, 3356, 累, 睡覺
pet_13378, 3356, 想睡覺, 睡覺
pet_12040, 3356, 想睡覺, 睡覺
pet_10746, 3356, 想睡覺, 睡覺
pet_14282, 3356, 無聊, 睡覺
pet_15491, 3356, 無聊, 睡覺
pet_15379, 3356, 無聊, 睡覺
pet_12416, 3356, 無聊, 睡覺
pet_12479, 3356, 無聊, 睡覺
pet_14708, 3356, 無聊, 睡覺
pet_10, 3384, 做研究, 累
pet_10, 3384, 做研究, 發現新東西
pet_10, 3384, 做研究, 很好玩
pet_9, 3356, 蝴蝶, 颱風
pet_18, 3356, 不想讀書, 打電腦
pet_18, 3356, 要找人聊天, 打電腦
pet_18, 3356, 搬家, 很熱
pet_18, 3356, 冷氣壞了, 很熱
pet_18, 3356, 電腦很多, 很熱
pet_7, 3384, 偷, 坐牢
pet_7, 3384, 搶, 坐牢
pet_7, 3356, 被老師盯, 寫作業
pet_7, 3356, 怕被罵, 寫作業
pet_7, 3356, 無可奈何, 寫作業
pet_18, 3356, 不合, 吵架
pet_18, 3356, 急躁, 吵架
pet_18, 3392, 老師, 家長
pet_18, 3392, 校長, 家長
pet_18, 3392, 中輟生, 家長
pet_18, 3392, 私奔情侶, 家長
pet_18, 3356, 冷氣太強, 很冷
pet_18, 3356, 沒穿外套, 很冷
pet_18, 3356, 笑話不好笑, 很冷
pet_18, 3356, 風大, 很冷
pet_7037, 3356, 板塊移動, 地震
pet_18, 3356, 天冷, 發燒
pet_18, 3384, 叫, 吵到其他人
pet_18, 3384, 叫, 喉嚨沙啞
pet_18, 3384, 叫, 聲嘶力竭
pet_18, 3384, 叫, 引起注意
pet_18, 3404, 颱風來, 要下雨
pet_18, 3384, 吵, 惹人厭
pet_18, 3384, 吵, 有糖吃
pet_18, 3384, 吵, 被罰站
pet_18, 3404, 有約會, 要出門
pet_18, 3404, 不想在家, 要出門
pet_18, 3404, 想買東西, 要出門
pet_18, 3404, 該休息, 累
pet_18, 3404, 生病, 累
pet_18, 3404, 該睡, 累
pet_18, 3404, 坐太久, 累
pet_18, 3404, 想結束現狀, 累
pet_18, 3404, 成長, 過生日
pet_18, 3404, 聚會, 過生日
pet_18, 3404, 老化, 過生日
pet_18, 3404, 友誼, 過生日
pet_18, 3378, 薪水, 老師
pet_18, 3378, 熱忱, 老師
pet_18, 3378, 寒暑假, 老師
pet_18, 3378, 教具, 老師
pet_18, 3404, 沒喝水, 渴
pet_18, 3404, 講太多話, 渴
pet_18, 3404, 空氣太乾, 渴
pet_7, 3404, 吃月餅, 過中秋節
pet_19, 3412, 想哭, 打人
pet_19, 3412, 想哭, 不鎮定
pet_7, 3366, 塑膠, 原子
pet_7, 3366, 矽, 矽原子
pet_12187, 3354, 考試, 唸書
pet_7, 3366, 鐵, 鐵原子
pet_7, 3356, 成功, 覺得爽
pet_18, 3385, 口渴, 忘了喝水
pet_18, 3385, 口渴, 說太多話
pet_18, 3385, 口渴, 做運動
pet_18, 3383, 總統, 演說
pet_18, 3383, 總統, 遊行
pet_18, 3383, 總統, 輔選
pet_18, 3377, 硬幣, 地上
pet_18, 3377, 黃金, 地上
pet_18, 3377, 頭髮, 地上
pet_18, 3377, 腳印, 地上
pet_14866, 3383, 人, 吃
pet_14703, 3383, 人, 吃
pet_14194, 3383, 人, 吃
pet_14866, 3383, 人, 喝
pet_14703, 3383, 人, 喝
pet_14194, 3383, 人, 喝
pet_14866, 3383, 人, 拉
pet_14194, 3383, 人, 拉
pet_14866, 3383, 人, 睡
pet_14703, 3383, 人, 睡
pet_18, 3384, 車子, 刮傷
pet_18, 3384, 車子, 前進
pet_18, 3384, 女人, 梳妝
pet_18, 3384, 女人, 生子
pet_18, 3384, 女人, 家事
pet_18, 3383, 歌星, 唱歌
pet_15082, 3390, 女人, 男人
pet_13894, 3390, 女人, 男人
pet_18, 3390, 女人, 八卦
pet_15754, 3354, 上課, 睡覺
pet_18, 3354, 按摩, 睡覺
pet_18, 3390, 人, 新鮮
pet_15642, 3390, 人, 錢
pet_18, 3390, 人, 自由
pet_18, 3390, 人, 佔有
pet_18, 3392, 人, 責任
pet_18, 3392, 人, 貧困
pet_18, 3392, 人, 長大
